case_id,pool,legacy_path,current_release_status,release_path,proposed_staged_or_backlog_label,wave_completed,remaining_action,notes
PERF_0015,PERF,cases/PERF/PERF_0015,already_standardized_wave002,cases/PERF/PERF_0015,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0016,PERF,cases/PERF/PERF_0016,already_standardized_wave002,cases/PERF/PERF_0016,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0018,PERF,cases/PERF/PERF_0018,already_standardized_wave002,cases/PERF/PERF_0018,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0020,PERF,cases/PERF/PERF_0020,already_standardized_wave002,cases/PERF/PERF_0020,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0021,PERF,cases/PERF/PERF_0021,already_standardized_wave002,cases/PERF/PERF_0021,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0022,PERF,cases/PERF/PERF_0022,already_standardized_wave002,cases/PERF/PERF_0022,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0023,PERF,cases/PERF/PERF_0023,already_standardized_wave002,cases/PERF/PERF_0023,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0025,PERF,cases/PERF/PERF_0025,already_standardized_wave002,cases/PERF/PERF_0025,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0026,PERF,cases/PERF/PERF_0026,already_standardized_wave002,cases/PERF/PERF_0026,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0027,PERF,cases/PERF/PERF_0027,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0028,PERF,cases/PERF/PERF_0028,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0029,PERF,cases/PERF/PERF_0029,already_standardized_wave001,cases/PERF/PERF_0029,proposed_backlog_v0,wave001,no_migration_action; audit-only review if needed,readiness=backlog_candidate; batch_group=wave C: checker/hard-negative approval needed; missing_runs
PERF_0030,PERF,cases/PERF/PERF_0030,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0031,PERF,cases/PERF/PERF_0031,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0032,PERF,cases/PERF/PERF_0032,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0036,PERF,cases/PERF/PERF_0036,already_standardized_wave002,cases/PERF/PERF_0036,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0037,PERF,cases/PERF/PERF_0037,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0038,PERF,cases/PERF/PERF_0038,already_standardized_wave002,cases/PERF/PERF_0038,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0039,PERF,cases/PERF/PERF_0039,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0040,PERF,cases/PERF/PERF_0040,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0041,PERF,cases/PERF/PERF_0041,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0042,PERF,cases/PERF/PERF_0042,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0043,PERF,cases/PERF/PERF_0043,already_standardized_wave002,cases/PERF/PERF_0043,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0044,PERF,cases/PERF/PERF_0044,already_standardized_wave002,cases/PERF/PERF_0044,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0045,PERF,cases/PERF/PERF_0045,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0046,PERF,cases/PERF/PERF_0046,not_yet_standardized,,manual_review_required,,classify for wave003 or later backlog/manual review,readiness=manual_review_required; batch_group=wave C: checker/hard-negative approval needed; local_path_or_host_trace_risk
PERF_0047,PERF,cases/PERF/PERF_0047,already_standardized_wave002,cases/PERF/PERF_0047,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0048,PERF,cases/PERF/PERF_0048,not_yet_standardized,,manual_review_required,,classify for wave003 or later backlog/manual review,readiness=manual_review_required; batch_group=wave C: checker/hard-negative approval needed; local_path_or_host_trace_risk
PERF_0049,PERF,cases/PERF/PERF_0049,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0050,PERF,cases/PERF/PERF_0050,already_standardized_wave002,cases/PERF/PERF_0050,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0051,PERF,cases/PERF/PERF_0051,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0053,PERF,cases/PERF/PERF_0053,already_standardized_wave002,cases/PERF/PERF_0053,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0055,PERF,cases/PERF/PERF_0055,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0057,PERF,cases/PERF/PERF_0057,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0058,PERF,cases/PERF/PERF_0058,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0059,PERF,cases/PERF/PERF_0059,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0060,PERF,cases/PERF/PERF_0060,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0061,PERF,cases/PERF/PERF_0061,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0063,PERF,cases/PERF/PERF_0063,already_standardized_wave002,cases/PERF/PERF_0063,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0064,PERF,cases/PERF/PERF_0064,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0065,PERF,cases/PERF/PERF_0065,already_standardized_wave002,cases/PERF/PERF_0065,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0066,PERF,cases/PERF/PERF_0066,already_standardized_wave002,cases/PERF/PERF_0066,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0067,PERF,cases/PERF/PERF_0067,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0068,PERF,cases/PERF/PERF_0068,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0069,PERF,cases/PERF/PERF_0069,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0070,PERF,cases/PERF/PERF_0070,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | missing_runs
PERF_0071,PERF,cases/PERF/PERF_0071,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0072,PERF,cases/PERF/PERF_0072,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0073,PERF,cases/PERF/PERF_0073,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0074,PERF,cases/PERF/PERF_0074,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0075,PERF,cases/PERF/PERF_0075,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0076,PERF,cases/PERF/PERF_0076,already_standardized_wave002,cases/PERF/PERF_0076,proposed_staged_v0,wave002,no_migration_action; static closeout reviewed in this packet,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0078,PERF,cases/PERF/PERF_0078,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0079,PERF,cases/PERF/PERF_0079,orphan_or_unregistered,,orphan_or_unregistered_review,,registry/provenance review before package standardization,readiness=orphan_or_unregistered; batch_group=wave E: defer/exclude until registry reconciliation; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry
PERF_0080,PERF,cases/PERF/PERF_0080,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0081,PERF,cases/PERF/PERF_0081,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0083,PERF,cases/PERF/PERF_0083,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0084,PERF,cases/PERF/PERF_0084,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0085,PERF,cases/PERF/PERF_0085,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0086,PERF,cases/PERF/PERF_0086,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0087,PERF,cases/PERF/PERF_0087,orphan_or_unregistered,,orphan_or_unregistered_review,,registry/provenance review before package standardization,readiness=orphan_or_unregistered; batch_group=wave E: defer/exclude until registry reconciliation; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry
PERF_0090,PERF,cases/PERF/PERF_0090,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0091,PERF,cases/PERF/PERF_0091,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0092,PERF,cases/PERF/PERF_0092,orphan_or_unregistered,,orphan_or_unregistered_review,,registry/provenance review before package standardization,readiness=orphan_or_unregistered; batch_group=wave E: defer/exclude until registry reconciliation; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry
PERF_0093,PERF,cases/PERF/PERF_0093,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0094,PERF,cases/PERF/PERF_0094,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0095,PERF,cases/PERF/PERF_0095,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0096,PERF,cases/PERF/PERF_0096,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0097,PERF,cases/PERF/PERF_0097,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0100,PERF,cases/PERF/PERF_0100,orphan_or_unregistered,,orphan_or_unregistered_review,,registry/provenance review before package standardization,readiness=orphan_or_unregistered; batch_group=wave E: defer/exclude until registry reconciliation; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry
PERF_0101,PERF,cases/PERF/PERF_0101,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0102,PERF,cases/PERF/PERF_0102,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0103,PERF,cases/PERF/PERF_0103,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0104,PERF,cases/PERF/PERF_0104,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0105,PERF,cases/PERF/PERF_0105,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0106,PERF,cases/PERF/PERF_0106,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0107,PERF,cases/PERF/PERF_0107,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0108,PERF,cases/PERF/PERF_0108,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0109,PERF,cases/PERF/PERF_0109,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0001,CONS,cases/CONS/CONS_0001,not_yet_standardized,,manual_review_required,,classify for wave003 or later backlog/manual review,readiness=manual_review_required; batch_group=wave D: longtail/complex/manual-review cases; missing_schema;checker;validation;runs
CONS_0002,CONS,cases/CONS/CONS_0002,not_yet_standardized,,manual_review_required,,classify for wave003 or later backlog/manual review,readiness=manual_review_required; batch_group=wave D: longtail/complex/manual-review cases; missing_schema;checker;validation;runs
CONS_0003,CONS,cases/CONS/CONS_0003,not_yet_standardized,,manual_review_required,,classify for wave003 or later backlog/manual review,readiness=manual_review_required; batch_group=wave C: checker/hard-negative approval needed; missing_runs
CONS_0004,CONS,cases/CONS/CONS_0004,not_yet_standardized,,manual_review_required,,classify for wave003 or later backlog/manual review,readiness=manual_review_required; batch_group=wave C: checker/hard-negative approval needed; missing_runs
CONS_0006,CONS,cases/CONS/CONS_0006,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0008,CONS,cases/CONS/CONS_0008,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0013,CONS,cases/CONS/CONS_0013,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0014,CONS,cases/CONS/CONS_0014,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0015,CONS,cases/CONS/CONS_0015,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0016,CONS,cases/CONS/CONS_0016,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0017,CONS,cases/CONS/CONS_0017,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0018,CONS,cases/CONS/CONS_0018,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0019,CONS,cases/CONS/CONS_0019,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0020,CONS,cases/CONS/CONS_0020,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0021,CONS,cases/CONS/CONS_0021,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0022,CONS,cases/CONS/CONS_0022,not_yet_standardized,,proposed_backlog_v0,,classify for wave003 or later backlog/manual review,readiness=backlog_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
CONS_0023,CONS,cases/CONS/CONS_0023,not_yet_standardized,,proposed_staged_v0,,classify for wave003 or later backlog/manual review,readiness=staged_candidate; batch_group=wave B: sanitization-needed cases; local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
