case_id,pool,legacy_path,prior_preview_label,wave003_bucket,reason_for_bucket,expected_effort,risk_flags,recommended_priority,notes
PERF_0051,PERF,cases/PERF/PERF_0051,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0055,PERF,cases/PERF/PERF_0055,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0057,PERF,cases/PERF/PERF_0057,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0058,PERF,cases/PERF/PERF_0058,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0059,PERF,cases/PERF/PERF_0059,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0060,PERF,cases/PERF/PERF_0060,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0061,PERF,cases/PERF/PERF_0061,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0064,PERF,cases/PERF/PERF_0064,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0067,PERF,cases/PERF/PERF_0067,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0068,PERF,cases/PERF/PERF_0068,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0069,PERF,cases/PERF/PERF_0069,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0070,PERF,cases/PERF/PERF_0070,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | missing_runs,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0071,PERF,cases/PERF/PERF_0071,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0072,PERF,cases/PERF/PERF_0072,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0073,PERF,cases/PERF/PERF_0073,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0074,PERF,cases/PERF/PERF_0074,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0075,PERF,cases/PERF/PERF_0075,proposed_backlog_v0,wave_003_policy_approved_candidate,Complete source/positive/schema/checker core and wave-B sanitization profile; can reuse wave 002 archive-map/evidence_not_retained policies with fail-closed checks.,medium,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk,P1,core_assets_complete=True; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0078,PERF,cases/PERF/PERF_0078,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0079,PERF,cases/PERF/PERF_0079,orphan_or_unregistered_review,orphan_or_unregistered_review,Detected non-Common-core case lacks trusted registry/membership context; registry reconciliation required before package work.,manual,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry,P4,core_assets_complete=False; governance_batch_group=wave E: defer/exclude until registry reconciliation; no case_sets/denominator/report/result change authorized.
PERF_0080,PERF,cases/PERF/PERF_0080,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0081,PERF,cases/PERF/PERF_0081,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0083,PERF,cases/PERF/PERF_0083,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0084,PERF,cases/PERF/PERF_0084,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0085,PERF,cases/PERF/PERF_0085,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0086,PERF,cases/PERF/PERF_0086,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0087,PERF,cases/PERF/PERF_0087,orphan_or_unregistered_review,orphan_or_unregistered_review,Detected non-Common-core case lacks trusted registry/membership context; registry reconciliation required before package work.,manual,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry,P4,core_assets_complete=False; governance_batch_group=wave E: defer/exclude until registry reconciliation; no case_sets/denominator/report/result change authorized.
PERF_0090,PERF,cases/PERF/PERF_0090,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0091,PERF,cases/PERF/PERF_0091,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0092,PERF,cases/PERF/PERF_0092,orphan_or_unregistered_review,orphan_or_unregistered_review,Detected non-Common-core case lacks trusted registry/membership context; registry reconciliation required before package work.,manual,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry,P4,core_assets_complete=False; governance_batch_group=wave E: defer/exclude until registry reconciliation; no case_sets/denominator/report/result change authorized.
PERF_0093,PERF,cases/PERF/PERF_0093,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0094,PERF,cases/PERF/PERF_0094,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0095,PERF,cases/PERF/PERF_0095,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0096,PERF,cases/PERF/PERF_0096,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0097,PERF,cases/PERF/PERF_0097,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0100,PERF,cases/PERF/PERF_0100,orphan_or_unregistered_review,orphan_or_unregistered_review,Detected non-Common-core case lacks trusted registry/membership context; registry reconciliation required before package work.,manual,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry,P4,core_assets_complete=False; governance_batch_group=wave E: defer/exclude until registry reconciliation; no case_sets/denominator/report/result change authorized.
PERF_0101,PERF,cases/PERF/PERF_0101,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0102,PERF,cases/PERF/PERF_0102,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0103,PERF,cases/PERF/PERF_0103,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0104,PERF,cases/PERF/PERF_0104,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0105,PERF,cases/PERF/PERF_0105,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0106,PERF,cases/PERF/PERF_0106,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0107,PERF,cases/PERF/PERF_0107,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0108,PERF,cases/PERF/PERF_0108,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
PERF_0109,PERF,cases/PERF/PERF_0109,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
CONS_0001,CONS,cases/CONS/CONS_0001,manual_review_required,wave_003_manual_review_required,Existing governance marks case for manual review; do not batch migrate without human resolution.,manual,missing_schema;checker;validation;runs,P3,core_assets_complete=False; governance_batch_group=wave D: longtail/complex/manual-review cases; no case_sets/denominator/report/result change authorized.
CONS_0002,CONS,cases/CONS/CONS_0002,manual_review_required,wave_003_manual_review_required,Existing governance marks case for manual review; do not batch migrate without human resolution.,manual,missing_schema;checker;validation;runs,P3,core_assets_complete=False; governance_batch_group=wave D: longtail/complex/manual-review cases; no case_sets/denominator/report/result change authorized.
CONS_0003,CONS,cases/CONS/CONS_0003,manual_review_required,wave_003_manual_review_required,Existing governance marks case for manual review; do not batch migrate without human resolution.,manual,missing_runs,P3,core_assets_complete=True; governance_batch_group=wave C: checker/hard-negative approval needed; no case_sets/denominator/report/result change authorized.
CONS_0004,CONS,cases/CONS/CONS_0004,manual_review_required,wave_003_manual_review_required,Existing governance marks case for manual review; do not batch migrate without human resolution.,manual,missing_runs,P3,core_assets_complete=True; governance_batch_group=wave C: checker/hard-negative approval needed; no case_sets/denominator/report/result change authorized.
CONS_0006,CONS,cases/CONS/CONS_0006,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
CONS_0008,CONS,cases/CONS/CONS_0008,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
CONS_0013,CONS,cases/CONS/CONS_0013,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
CONS_0014,CONS,cases/CONS/CONS_0014,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
CONS_0015,CONS,cases/CONS/CONS_0015,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
CONS_0016,CONS,cases/CONS/CONS_0016,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
CONS_0017,CONS,cases/CONS/CONS_0017,proposed_staged_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
CONS_0018,CONS,cases/CONS/CONS_0018,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
CONS_0019,CONS,cases/CONS/CONS_0019,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
CONS_0020,CONS,cases/CONS/CONS_0020,proposed_backlog_v0,wave_003_backlog_defer,Missing or weak core assets such as checker/schema/evidence require a separate review or package policy before migration.,manual_or_high,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker,P4,core_assets_complete=False; governance_batch_group=wave B: sanitization-needed cases; no case_sets/denominator/report/result change authorized.
