case_id,reference_file,referenced_path,reference_kind,live_reference,required_update,recommended_replacement,notes
PERF_0007,cases/PERF/PERF_0007/evidence/,case-local evidence directory,case_local_evidence,already_removed,false,none,Case-local evidence directory is absent after prior cleanup.
CONS_0005,cases/CONS/CONS_0005/manifest.yaml,evidence_ref and evidence/cases/CONS/CONS_0005/,manifest_evidence_ref,true,true,evidence_policy with static_case_evidence not_required,Remove mandatory static evidence refs before deleting top-level static evidence.
CONS_0005,cases/CONS/CONS_0005/README.md,evidence_ref and evidence/cases/CONS/CONS_0005/,readme_evidence_wording,true,true,Regeneration-first evidence policy wording,README currently describes external static evidence as current public-safe retained evidence.
CONS_0005,cases/CONS/CONS_0005/checker/compare_config.yaml,evidence/cases/CONS/CONS_0005/,checker_static_reference,true,true,Runtime-generated source/candidate result inputs,Compare config still points to retained static result artifacts.
CONS_0005,cases/CONS/CONS_0005/checker/expected_rejections.yaml,evidence/cases/CONS/CONS_0005/,checker_static_reference,true,true,Hard-negative expectation policy without static retained paths,Expected rejection config still points to retained hard-negative artifacts.
CONS_0005,cases/CONS/CONS_0005/evidence/,case-local evidence directory,case_local_evidence,already_removed,false,none,Case-local evidence directory is absent after prior cleanup.
PORT_0003,cases/PORT/PORT_0003/manifest.yaml,evidence_ref and evidence/cases/PORT/PORT_0003/,manifest_evidence_ref,true,true,evidence_policy with static_case_evidence not_required,Remove mandatory static evidence refs before deleting top-level static evidence.
PORT_0003,cases/PORT/PORT_0003/README.md,evidence_ref and evidence/cases/PORT/PORT_0003/,readme_evidence_wording,true,true,Regeneration-first evidence policy wording,README currently describes external static evidence as current public-safe retained evidence.
PORT_0003,cases/PORT/PORT_0003/checker/compare_config.yaml,evidence/cases/PORT/PORT_0003/,checker_static_reference,true,true,Runtime-generated source/candidate result inputs,Compare config still points to retained static result artifacts.
PORT_0003,cases/PORT/PORT_0003/checker/expected_rejections.yaml,evidence/cases/PORT/PORT_0003/,checker_static_reference,true,true,Hard-negative expectation policy without static retained paths,Expected rejection config still points to retained hard-negative artifacts.
PORT_0003,cases/PORT/PORT_0003/evidence/,case-local evidence directory,case_local_evidence,already_removed,false,none,Case-local evidence directory is absent after prior cleanup.
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/manifest.yaml,evidence_ref and evidence/cases/LONGTAIL/LONGTAIL_0011/,manifest_evidence_ref,true,true,evidence_policy with static_case_evidence not_required,Remove mandatory static evidence refs before deleting top-level static evidence.
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/README.md,evidence_ref and evidence/cases/LONGTAIL/LONGTAIL_0011/,readme_evidence_wording,true,true,Regeneration-first evidence policy wording,README currently describes external static evidence as current public-safe retained evidence.
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/checker/checker.yaml,evidence/cases/LONGTAIL/LONGTAIL_0011/,checker_static_reference,true,true,Runtime-generated source/candidate result inputs,Checker config still points to retained static result artifacts.
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/checker/compare_config.yaml,evidence/cases/LONGTAIL/LONGTAIL_0011/,checker_static_reference,true,true,Runtime-generated source/candidate result inputs,Compare config still points to retained static result artifacts.
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/checker/expected_rejections.yaml,evidence/cases/LONGTAIL/LONGTAIL_0011/,checker_static_reference,true,true,Hard-negative expectation policy without static retained paths,Expected rejection config still points to retained hard-negative artifacts.
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011/evidence/,case-local evidence directory,case_local_evidence,already_removed,false,none,Case-local evidence directory is absent after prior cleanup.
ALL,tests/case_package_v2/test_case_package_v2_resolver.py,static evidence paths,validator_test,false,false,evidence_policy not_required accepted,Tests now assert regeneration-first manifests pass without evidence_ref.
ALL,scripts/dev/validate_case_package_v2_refs.py,evidence_ref,validator_entrypoint,false,false,none,Validator entrypoint delegates to resolver and does not require static evidence paths directly.
