case_id,relative_path,risk_type,pattern_category,severity,proposed_action,blocks_migration,notes
LONGTAIL_0023,cases/LONGTAIL/LONGTAIL_0023/validation/run_*_validation.sh and run_*_plan_collection.sh,case_local_runs_output_policy,runs/,medium,retain as legacy validation assets; add public caveat that future runners must write outside case-local runs by default,no_if_caveat_recorded,Legacy scripts write validation and plan artifacts into case-local runs/.
LONGTAIL_0023,cases/LONGTAIL/LONGTAIL_0023/validation/run_pg_plan_collection.sh,temporary_work_directory_wording,_tmp_plan_collection,low,"adapt public comments/paths neutrally if copied, preserving command intent",no,Temporary plan collection directory is under runs/ and should be treated as legacy-output policy context.
LONGTAIL_0024,cases/LONGTAIL/LONGTAIL_0024/runs/spark/plans/*.txt,raw_spark_plan_local_path_trace,file:/tmp,high,do not copy raw; create sanitized public copies under evidence/retained_plans/spark and map raw originals as do-not-delete,yes_until_sanitized_or_archive_mapped,Spark text plans contain InMemoryFileIndex file:/tmp paths.
LONGTAIL_0024,cases/LONGTAIL/LONGTAIL_0024/validation/run_*_validation.sh and run_*_plan_collection.sh,case_local_runs_output_policy,runs/,medium,retain as legacy validation assets; add public caveat that future runners must write outside case-local runs by default,no_if_caveat_recorded,Legacy scripts write validation and plan artifacts into case-local runs/.
LONGTAIL_0024,cases/LONGTAIL/LONGTAIL_0024/validation/run_pg_plan_collection.sh,temporary_work_directory_wording,_tmp_plan_collection,low,"adapt public comments/paths neutrally if copied, preserving command intent",no,Temporary plan collection directory is under runs/ and should be treated as legacy-output policy context.
LONGTAIL_0012,cases/LONGTAIL/LONGTAIL_0012/validation/run_spark_validation.sh and run_spark_plan_collection.sh,local_environment_wording,WSL,medium,adapt comments to neutral public Spark environment wording if copied,no_if_adapted,Legacy comment says local WSL execution; public copy should not preserve local-maintainer wording.
LONGTAIL_0013,cases/LONGTAIL/LONGTAIL_0013/validation/run_spark_validation.sh and run_spark_plan_collection.sh,local_environment_wording,WSL,medium,adapt comments to neutral public Spark environment wording if copied,no_if_adapted,Legacy comment says local WSL execution; public copy should not preserve local-maintainer wording.
LONGTAIL_0022,cases/LONGTAIL/LONGTAIL_0022/validation/check_results.py and check_plan_artifacts.py,stderr_usage_text,stdout/stderr,low,retain only if public-safe; no raw stdout/stderr logs should be copied into evidence,no,Scripts print usage to stderr; this is not a raw log path but is recorded in hygiene review.
LONGTAIL_0023,cases/LONGTAIL/LONGTAIL_0023/validation/check_results.py and check_plan_artifacts.py,stderr_usage_text,stdout/stderr,low,retain only if public-safe; no raw stdout/stderr logs should be copied into evidence,no,Scripts print usage to stderr; this is not a raw log path but is recorded in hygiene review.
LONGTAIL_0024,cases/LONGTAIL/LONGTAIL_0024/validation/check_results.py and check_plan_artifacts.py,stderr_usage_text,stdout/stderr,low,retain only if public-safe; no raw stdout/stderr logs should be copied into evidence,no,Scripts print usage to stderr; this is not a raw log path but is recorded in hygiene review.
