case_id,engine,pool,source_sql_path,schema_ref,selected,expected_risk,notes
PORT_0003,postgres,PORT,cases/PORT/PORT_0003/sql/source.sql,schemas/parrot_bird_port0003_v0/schema_profile.yaml,true,portability_case_postgres_only_boundary,PostgreSQL-only bounded diagnostic; MySQL/Spark were not selected.
PORT_0004,postgres,PORT,cases/PORT/PORT_0004/sql/source.sql,schemas/parrot_bird_port0004_v0/schema_profile.yaml,true,portability_case_postgres_only_boundary,PostgreSQL-only bounded diagnostic; MySQL/Spark were not selected.
PORT_0005,postgres,PORT,cases/PORT/PORT_0005/sql/source.sql,schemas/parrot_bird_port0005_v0/schema_profile.yaml,true,portability_case_postgres_only_boundary,PostgreSQL-only bounded diagnostic; MySQL/Spark were not selected.
PORT_0008,postgres,PORT,cases/PORT/PORT_0008/sql/source.sql,schemas/parrot_bird_port0008_v0/schema_profile.yaml,true,portability_case_postgres_only_boundary,PostgreSQL-only bounded diagnostic; MySQL/Spark were not selected.
PORT_0012,postgres,PORT,cases/PORT/PORT_0012/sql/source.sql,schemas/parrot_bird_port0012_v0/schema_profile.yaml,true,portability_case_postgres_only_boundary,PostgreSQL-only bounded diagnostic; MySQL/Spark were not selected.
PORT_0013,postgres,PORT,cases/PORT/PORT_0013/sql/source.sql,schemas/parrot_bird_port0013_v0/schema_profile.yaml,true,portability_case_postgres_only_boundary,PostgreSQL-only bounded diagnostic; MySQL/Spark were not selected.
PORT_0022,postgres,PORT,cases/PORT/PORT_0022/sql/source.sql,schemas/parrot_bird_port0022_v0/schema_profile.yaml,true,portability_case_postgres_only_boundary,PostgreSQL-only bounded diagnostic; MySQL/Spark were not selected.
PORT_0024,postgres,PORT,cases/PORT/PORT_0024/sql/source.sql,schemas/parrot_bird_port0024_v0/schema_profile.yaml,true,portability_case_postgres_only_boundary,PostgreSQL-only bounded diagnostic; MySQL/Spark were not selected.
PORT_0025,postgres,PORT,cases/PORT/PORT_0025/sql/source.sql,schemas/parrot_bird_port0025_v0/schema_profile.yaml,true,portability_case_postgres_only_boundary,PostgreSQL-only bounded diagnostic; MySQL/Spark were not selected.
LONGTAIL_0011,postgres,LONGTAIL,cases/LONGTAIL/LONGTAIL_0011/sql/source.sql,schemas/sqlstorm_stackoverflow_longtail0011_v0/schema_profile.yaml,true,longtail_sql_feature_or_runtime_execution_risk,Longtail SQL shape may exceed LearnedRewrite/runtime execution support.
LONGTAIL_0012,postgres,LONGTAIL,cases/LONGTAIL/LONGTAIL_0012/sql/source.sql,schemas/sqlstorm_stackoverflow_longtail0012_v0/schema_profile.yaml,true,longtail_sql_feature_or_runtime_execution_risk,Longtail SQL shape may exceed LearnedRewrite/runtime execution support.
LONGTAIL_0013,postgres,LONGTAIL,cases/LONGTAIL/LONGTAIL_0013/sql/source.sql,schemas/sqlstorm_stackoverflow_longtail0013_v0/schema_profile.yaml,true,longtail_sql_feature_or_runtime_execution_risk,Longtail SQL shape may exceed LearnedRewrite/runtime execution support.
LONGTAIL_0022,postgres,LONGTAIL,cases/LONGTAIL/LONGTAIL_0022/sql/source.sql,schemas/stack_queries_longtail0022_v0/schema_profile.yaml,true,longtail_sql_feature_or_runtime_execution_risk,Longtail SQL shape may exceed LearnedRewrite/runtime execution support.
LONGTAIL_0023,postgres,LONGTAIL,cases/LONGTAIL/LONGTAIL_0023/sql/source.sql,schemas/stack_queries_longtail0023_v0/schema_profile.yaml,true,longtail_sql_feature_or_runtime_execution_risk,Longtail SQL shape may exceed LearnedRewrite/runtime execution support.
LONGTAIL_0024,postgres,LONGTAIL,cases/LONGTAIL/LONGTAIL_0024/sql/source.sql,schemas/stack_queries_longtail0024_v0/schema_profile.yaml,true,longtail_sql_feature_or_runtime_execution_risk,Longtail SQL shape may exceed LearnedRewrite/runtime execution support.
