case_id,engine,method_id,route_id,candidate_sha256,original_status,retry_status,merged_status,replaced_original_row,identity_checks_passed,notes
CONS_0005,spark,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,5b35e99cd894f3ede08dbb29ded448640c057fc1ee3e112dc61f815108e0d6c2,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0011,spark,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,4c8191a3fdc40b29771b567a12b0272ba9663686f66f31efdd9d5517b7e826ef,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0022,spark,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,58894a9e5138122779769567303245db31e8f28eba209050a4b910fa5cd902e5,malformed_json,malformed_json,malformed_json,false,true,retry_failed_or_identity_check_failed_preserved_original
PERF_0006,spark,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,b7b3ab07efd60755f8d6dac2d299a2e38f1eee1cfbdfc88d85acd7be07a0dbd2,malformed_json,malformed_json,malformed_json,false,true,retry_failed_or_identity_check_failed_preserved_original
PORT_0003,spark,direct_llm_repair_1,direct_llm_repair_1_tri_engine_pocr_pilot_v0,1ca7d8956b6648595031cc7157d28427b8520646f87766425c45d099d5096a63,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
CONS_0005,mysql,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,7fb55d0e5e79d59f62e4eefa8782ae34ec9e5fc7d5d83d74f6c8537aaec060cf,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0011,mysql,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,dc674b49bd030f320141fe221ee3a9e7bd4791a47049f757ec9c72ad62d37928,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0022,mysql,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,c5558cfdf705ef3fd0bf2e69afbaa1a38192f37b7563a1ae145a41de3d9fba50,provider_call_failed,schema_valid,schema_valid,true,true,retry_success_identity_passed
PERF_0006,mysql,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,250256397b1969ed1f7080c201b9440b0c917720508edf89497dab51e841562b,malformed_json,malformed_json,malformed_json,false,true,retry_failed_or_identity_check_failed_preserved_original
PORT_0003,mysql,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,2537261ae47aca73b32159c61d2f914f2812ab79c12b29fa2ca166ad0dd2861f,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
CONS_0005,postgres,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,7fb55d0e5e79d59f62e4eefa8782ae34ec9e5fc7d5d83d74f6c8537aaec060cf,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0011,postgres,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,dc674b49bd030f320141fe221ee3a9e7bd4791a47049f757ec9c72ad62d37928,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0022,postgres,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,c5558cfdf705ef3fd0bf2e69afbaa1a38192f37b7563a1ae145a41de3d9fba50,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
PERF_0006,postgres,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,250256397b1969ed1f7080c201b9440b0c917720508edf89497dab51e841562b,malformed_json,malformed_json,malformed_json,false,true,retry_failed_or_identity_check_failed_preserved_original
PORT_0003,postgres,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,2537261ae47aca73b32159c61d2f914f2812ab79c12b29fa2ca166ad0dd2861f,malformed_json,malformed_json,malformed_json,false,true,retry_failed_or_identity_check_failed_preserved_original
CONS_0005,spark,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,7fb55d0e5e79d59f62e4eefa8782ae34ec9e5fc7d5d83d74f6c8537aaec060cf,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0011,spark,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,dc674b49bd030f320141fe221ee3a9e7bd4791a47049f757ec9c72ad62d37928,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
LONGTAIL_0022,spark,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,c5558cfdf705ef3fd0bf2e69afbaa1a38192f37b7563a1ae145a41de3d9fba50,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
PERF_0006,spark,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,250256397b1969ed1f7080c201b9440b0c917720508edf89497dab51e841562b,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
PORT_0003,spark,sqlglot_noop,sqlglot_noop_tri_engine_pocr_sanity_control_v0,2537261ae47aca73b32159c61d2f914f2812ab79c12b29fa2ca166ad0dd2861f,schema_valid,,schema_valid,false,true,original_schema_valid_preserved
