metric_name,rewrite_method,pool,engine,v2_authorized_rows,v3_authorized_rows,v2_numerator_total_dry_run_rows,v3_numerator_total_dry_run_rows,delta_due_to_overlap_resolution,notes
Generation Rate,sqlglot_optimize,CONS,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,CONS,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,PORT,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,PORT,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,PORT,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,LONGTAIL,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,LONGTAIL,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_optimize,LONGTAIL,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,PERF,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,PERF,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,PERF,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,CONS,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,CONS,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,CONS,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,PORT,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,PORT,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,PORT,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,LONGTAIL,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,LONGTAIL,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,sqlglot_noop,LONGTAIL,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,PERF,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,PERF,mysql,2,2,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,PERF,spark,1,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,CONS,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,CONS,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,CONS,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,PORT,postgres,9,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,PORT,mysql,8,8,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,PORT,spark,8,8,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,LONGTAIL,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,LONGTAIL,mysql,1,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Generation Rate,calcite_hep_fail_closed,LONGTAIL,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,PERF,postgres,15,16,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,PERF,mysql,16,16,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,PERF,spark,14,16,0,1,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,CONS,postgres,8,9,0,1,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,CONS,mysql,8,9,0,1,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,CONS,spark,8,9,0,1,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,PORT,postgres,4,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,PORT,mysql,4,9,0,1,1,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,PORT,spark,1,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,LONGTAIL,postgres,5,6,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,LONGTAIL,mysql,6,6,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_original,LONGTAIL,spark,5,6,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,PERF,postgres,1,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,PERF,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,PERF,spark,0,2,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,CONS,postgres,0,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,CONS,mysql,0,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,CONS,spark,0,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,PORT,postgres,1,5,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,PORT,mysql,2,5,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,PORT,spark,2,8,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,LONGTAIL,postgres,1,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,LONGTAIL,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,direct_llm_repair_1,LONGTAIL,spark,0,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,PERF,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,PERF,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,PERF,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,CONS,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,CONS,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,CONS,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,PORT,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,PORT,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,PORT,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,LONGTAIL,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,LONGTAIL,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_optimize,LONGTAIL,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,PERF,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,PERF,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,PERF,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,CONS,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,CONS,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,CONS,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,PORT,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,PORT,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,PORT,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,LONGTAIL,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,LONGTAIL,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,sqlglot_noop,LONGTAIL,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,PERF,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,PERF,mysql,2,2,1,1,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,PERF,spark,1,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,CONS,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,CONS,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,CONS,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,PORT,postgres,9,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,PORT,mysql,8,8,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,PORT,spark,8,8,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,LONGTAIL,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,LONGTAIL,mysql,1,1,1,1,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Execution Coverage Rate,calcite_hep_fail_closed,LONGTAIL,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,PERF,postgres,15,16,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,PERF,mysql,16,16,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,PERF,spark,14,16,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,CONS,postgres,8,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,CONS,mysql,8,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,CONS,spark,8,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,PORT,postgres,4,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,PORT,mysql,4,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,PORT,spark,1,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,LONGTAIL,postgres,5,6,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,LONGTAIL,mysql,6,6,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_original,LONGTAIL,spark,5,6,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,PERF,postgres,1,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,PERF,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,PERF,spark,0,2,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,CONS,postgres,0,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,CONS,mysql,0,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,CONS,spark,0,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,PORT,postgres,1,5,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,PORT,mysql,2,5,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,PORT,spark,2,8,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,LONGTAIL,postgres,1,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,LONGTAIL,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,direct_llm_repair_1,LONGTAIL,spark,0,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,PERF,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,PERF,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,PERF,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,CONS,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,CONS,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,CONS,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,PORT,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,PORT,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,PORT,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,LONGTAIL,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,LONGTAIL,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_optimize,LONGTAIL,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,PERF,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,PERF,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,PERF,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,CONS,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,CONS,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,CONS,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,PORT,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,PORT,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,PORT,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,LONGTAIL,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,LONGTAIL,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,sqlglot_noop,LONGTAIL,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,PERF,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,PERF,mysql,2,2,1,1,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,PERF,spark,1,1,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,CONS,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,CONS,mysql,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,CONS,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,PORT,postgres,9,9,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,PORT,mysql,8,8,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,PORT,spark,8,8,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,LONGTAIL,postgres,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,LONGTAIL,mysql,1,1,1,1,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
Result Consistency Rate,calcite_hep_fail_closed,LONGTAIL,spark,0,0,0,0,0,"v3 delta is audit-only and reflects overlap-priority authorization plus normalization, not official metrics"
