rewrite_method,pool,engine,planned_denominator_rows,observed_generated_rows,inferred_generated_rows,official_generated_rows,blocker_reason,required_policy_or_evidence,notes
calcite_hep_fail_closed,PORT,postgres,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
calcite_hep_fail_closed,PORT,spark,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,CONS,mysql,9,1,8,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,CONS,postgres,9,1,8,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,CONS,spark,9,1,8,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,LONGTAIL,mysql,6,0,6,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,LONGTAIL,postgres,6,1,5,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,LONGTAIL,spark,6,1,5,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,PERF,mysql,16,0,16,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,PERF,postgres,16,1,15,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,PERF,spark,16,2,14,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,PORT,mysql,9,5,4,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,PORT,postgres,9,5,4,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_original,PORT,spark,9,8,1,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,CONS,mysql,9,1,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,CONS,postgres,9,1,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,CONS,spark,9,1,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,LONGTAIL,mysql,6,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,LONGTAIL,postgres,6,1,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,LONGTAIL,spark,6,1,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,PERF,mysql,16,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,PERF,postgres,16,1,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,PERF,spark,16,2,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,PORT,mysql,9,3,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,PORT,postgres,9,4,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
direct_llm_repair_1,PORT,spark,9,6,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,CONS,mysql,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,CONS,postgres,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,CONS,spark,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,LONGTAIL,mysql,6,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,LONGTAIL,postgres,6,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,LONGTAIL,spark,6,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,PERF,mysql,16,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,PERF,postgres,16,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,PERF,spark,16,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,PORT,mysql,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,PORT,postgres,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_noop,PORT,spark,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,CONS,mysql,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,CONS,postgres,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,CONS,spark,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,LONGTAIL,mysql,6,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,LONGTAIL,postgres,6,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,LONGTAIL,spark,6,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,PERF,mysql,16,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,PERF,postgres,16,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,PERF,spark,16,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,PORT,mysql,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,PORT,postgres,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
sqlglot_optimize,PORT,spark,9,0,0,0,inferred_generated_policy_not_official_and_sqlglot_generated_ready_gap,Approve inferred_generated official policy and improve SQLGlot generated/ready evidence before computing official Generation Rate.,Generation Rate is blocked and not computed in this limited official task.
