rewrite_method,route_family,method_role,field_group,candidate_fields,safe_release_repo_sources,requires_legacy_raw_evidence,requires_reports_results_candidate_map,requires_timing_artifacts,can_fill_in_next_bounded_adapter,must_remain_na_for_now,adapter_needed,risk_level,notes
sqlglot_optimize,sqlglot_optimize,deterministic_same_engine_rewrite_method,generation_ready,generated;ready;candidate_sql_path;parse_status,scaffold ledger;method scope;case_set denominator;release metadata maps as manifest only,true,true,false,conditional_release_summary_only,true,candidate_status_adapter_v0,medium,Deterministic route may be easier later but current release summaries still do not fill row outcomes.
sqlglot_optimize,sqlglot_optimize,deterministic_same_engine_rewrite_method,execution_exactness,executed;exact;result_status;checker_status,scaffold ledger for denominator only;release metadata maps as manifest only,true,true,false,false,true,production_retained_evidence_adapter,high,Execution and exactness require retained result/checker evidence.
sqlglot_optimize,sqlglot_optimize,deterministic_same_engine_rewrite_method,failure_status,failure_stage;failure_type;result_status;parse_status,release metadata maps may identify artifact groups,true,true,false,conditional_release_summary_only,true,candidate_status_adapter_v0,medium,Failure status needs deterministic parser and row-grain confirmation.
sqlglot_optimize,sqlglot_optimize,deterministic_same_engine_rewrite_method,timing_performance,timed;latency_ms;speedup_ratio;timing_eligible,metrics contract timing boundary only,true,true,true,false,true,timing_record_adapter,critical,Speedup cannot be inferred from retained summary names or result cards.
sqlglot_optimize,sqlglot_optimize,deterministic_same_engine_rewrite_method,plan_observability,plan_available;plan_artifact_path,plan observability planning summaries only,true,true,false,false,true,plan_observability_adapter,medium,Plan evidence requires public-safe artifact mapping.
sqlglot_optimize,sqlglot_optimize,deterministic_same_engine_rewrite_method,retained_artifact_trace,evidence_source;retained_artifact_path;metric_input_authorized,scaffold can keep evidence_source=release_denominator_scaffold and metric_input_authorized=false,true,true,false,conditional_trace_only,true,retained_evidence_adapter,medium,Actual retained artifact paths require approved artifact selection.
sqlglot_noop,sqlglot_noop,low_transform_infrastructure_route,generation_ready,generated;ready;candidate_sql_path;parse_status,scaffold ledger;method scope;case_set denominator;release metadata maps as manifest only,true,true,false,conditional_release_summary_only,true,candidate_status_adapter_v0,high,No-op route must remain a candidate method and not inherit source-control facts.
sqlglot_noop,sqlglot_noop,low_transform_infrastructure_route,execution_exactness,executed;exact;result_status;checker_status,scaffold ledger for denominator only;release metadata maps as manifest only,true,true,false,false,true,production_retained_evidence_adapter,high,Exactness cannot be copied from source controls because denominator and method role differ.
sqlglot_noop,sqlglot_noop,low_transform_infrastructure_route,failure_status,failure_stage;failure_type;result_status;parse_status,release metadata maps may identify artifact groups,true,true,false,conditional_release_summary_only,true,candidate_status_adapter_v0,high,No-op failure semantics require manual review before any status fill.
sqlglot_noop,sqlglot_noop,low_transform_infrastructure_route,timing_performance,timed;latency_ms;speedup_ratio;timing_eligible,metrics contract timing boundary only,true,true,true,false,true,timing_record_adapter,critical,No-op timing risks source-like confusion and needs explicit timing policy.
sqlglot_noop,sqlglot_noop,low_transform_infrastructure_route,plan_observability,plan_available;plan_artifact_path,plan observability planning summaries only,true,true,false,false,true,plan_observability_adapter,medium,Plan artifacts cannot become method metrics without future attribution gates.
sqlglot_noop,sqlglot_noop,low_transform_infrastructure_route,retained_artifact_trace,evidence_source;retained_artifact_path;metric_input_authorized,scaffold can keep evidence_source=release_denominator_scaffold and metric_input_authorized=false,true,true,false,conditional_trace_only,true,retained_evidence_adapter,medium,No-op retained trace needs separation from source-control artifacts.
calcite_hep_fail_closed,calcite_hep,rule_based_fail_closed_rewrite_method,generation_ready,generated;ready;candidate_sql_path;parse_status,scaffold ledger;method scope;case_set denominator;release metadata maps as manifest only,true,true,false,conditional_release_summary_only,true,candidate_status_adapter_v0,high,Fail-closed output needs explicit no-candidate unsupported and generated-state semantics.
calcite_hep_fail_closed,calcite_hep,rule_based_fail_closed_rewrite_method,execution_exactness,executed;exact;result_status;checker_status,scaffold ledger for denominator only;release metadata maps as manifest only,true,true,false,false,true,production_retained_evidence_adapter,high,Execution and exactness need approved retained result/checker parsing.
calcite_hep_fail_closed,calcite_hep,rule_based_fail_closed_rewrite_method,failure_status,failure_stage;failure_type;result_status;parse_status,release metadata maps may identify artifact groups,true,true,false,conditional_release_summary_only,true,candidate_status_adapter_v0,high,Fail-closed categories must distinguish unsupported blocked no-candidate and failed execution.
calcite_hep_fail_closed,calcite_hep,rule_based_fail_closed_rewrite_method,timing_performance,timed;latency_ms;speedup_ratio;timing_eligible,metrics contract timing boundary only,true,true,true,false,true,timing_record_adapter,critical,Timing requires separate adapter and cannot be derived from result cards in this audit.
calcite_hep_fail_closed,calcite_hep,rule_based_fail_closed_rewrite_method,plan_observability,plan_available;plan_artifact_path,plan observability planning summaries only,true,true,false,false,true,plan_observability_adapter,medium,Plan support should remain diagnostic until attribution implementation is authorized.
calcite_hep_fail_closed,calcite_hep,rule_based_fail_closed_rewrite_method,retained_artifact_trace,evidence_source;retained_artifact_path;metric_input_authorized,scaffold can keep evidence_source=release_denominator_scaffold and metric_input_authorized=false,true,true,false,conditional_trace_only,true,retained_evidence_adapter,medium,Actual retained artifact paths require approved public-safe artifact mapping.
