case_id,provider_label,model_label,call_timestamp_utc,call_status,error_type,token_counts_if_available,api_key_env_name,api_key_value_recorded,notes
PERF_0056,openai_compatible,gpt-5.4,2026-05-26T15:40:43.338811+00:00,schema_valid,,"{""completion_tokens"": 766, ""prompt_tokens"": 2203, ""total_tokens"": 2969}",SQLRB_LLM_API_KEY,false,schema_valid
PERF_0062,openai_compatible,gpt-5.4,2026-05-26T15:40:59.393615+00:00,schema_valid,,"{""completion_tokens"": 1480, ""prompt_tokens"": 2966, ""total_tokens"": 4446}",SQLRB_LLM_API_KEY,false,schema_valid
PERF_0077,openai_compatible,gpt-5.4,2026-05-26T15:41:28.440485+00:00,schema_valid,,"{""completion_tokens"": 682, ""prompt_tokens"": 1861, ""total_tokens"": 2543}",SQLRB_LLM_API_KEY,false,schema_valid
PERF_0082,openai_compatible,gpt-5.4,2026-05-26T15:41:43.131416+00:00,schema_valid,,"{""completion_tokens"": 736, ""prompt_tokens"": 2088, ""total_tokens"": 2824}",SQLRB_LLM_API_KEY,false,schema_valid
PORT_0003,openai_compatible,gpt-5.4,2026-05-26T15:44:55.790620+00:00,schema_valid,,"{""completion_tokens"": 532, ""prompt_tokens"": 1547, ""total_tokens"": 2079}",SQLRB_LLM_API_KEY,false,schema_valid
PORT_0004,openai_compatible,gpt-5.4,2026-05-26T15:45:07.402272+00:00,schema_valid,,"{""completion_tokens"": 548, ""prompt_tokens"": 1766, ""total_tokens"": 2314}",SQLRB_LLM_API_KEY,false,schema_valid
PORT_0005,openai_compatible,gpt-5.4,2026-05-26T15:45:19.502483+00:00,schema_valid,,"{""completion_tokens"": 534, ""prompt_tokens"": 1553, ""total_tokens"": 2087}",SQLRB_LLM_API_KEY,false,schema_valid
PORT_0008,openai_compatible,gpt-5.4,2026-05-26T15:45:31.344188+00:00,schema_valid,,"{""completion_tokens"": 735, ""prompt_tokens"": 1759, ""total_tokens"": 2494}",SQLRB_LLM_API_KEY,false,schema_valid
PORT_0012,openai_compatible,gpt-5.4,2026-05-26T15:46:03.863689+00:00,schema_valid,,"{""completion_tokens"": 695, ""prompt_tokens"": 1570, ""total_tokens"": 2265}",SQLRB_LLM_API_KEY,false,schema_valid
PORT_0013,openai_compatible,gpt-5.4,2026-05-26T15:46:19.082714+00:00,schema_valid,,"{""completion_tokens"": 588, ""prompt_tokens"": 1598, ""total_tokens"": 2186}",SQLRB_LLM_API_KEY,false,schema_valid
PORT_0022,openai_compatible,gpt-5.4,2026-05-26T15:47:04.986337+00:00,schema_valid,,"{""completion_tokens"": 539, ""prompt_tokens"": 1608, ""total_tokens"": 2147}",SQLRB_LLM_API_KEY,false,schema_valid
PORT_0024,openai_compatible,gpt-5.4,2026-05-26T15:47:17.000126+00:00,schema_valid,,"{""completion_tokens"": 443, ""prompt_tokens"": 1395, ""total_tokens"": 1838}",SQLRB_LLM_API_KEY,false,schema_valid
PORT_0025,openai_compatible,gpt-5.4,2026-05-26T15:47:28.534678+00:00,schema_valid,,"{""completion_tokens"": 550, ""prompt_tokens"": 1597, ""total_tokens"": 2147}",SQLRB_LLM_API_KEY,false,schema_valid
