case_id,pool,current_bucket,proposed_bucket,rationale,evidence_completeness,runs_retention_risk,public_hygiene_risk,migration_complexity,human_review_required,future_action,notes
PERF_0028,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0029,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=low; hygiene_risk=false; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,false,low,false,keep as governed backlog candidate; require evidence index before migration planning,missing_runs
PERF_0030,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0031,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0032,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0036,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0037,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0038,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0039,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0040,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0041,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0042,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0043,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0044,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0045,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0046,PERF,manual_review_required,manual_review_required,prior audit bucket=manual_review_required; complexity=high; hygiene_risk=true; human review required,needs_review,medium_runs_with_local_path_risk,true,high,true,perform case-level maintainer review before staged/backlog membership assignment,local_path_or_host_trace_risk
PERF_0047,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0048,PERF,manual_review_required,manual_review_required,prior audit bucket=manual_review_required; complexity=high; hygiene_risk=true; human review required,needs_review,medium_runs_with_local_path_risk,true,high,true,perform case-level maintainer review before staged/backlog membership assignment,local_path_or_host_trace_risk
PERF_0049,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0050,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0051,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0053,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0055,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0057,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0058,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0059,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0060,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0061,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0063,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0064,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0065,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0066,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0067,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0068,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0069,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0070,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",core_assets_present_runs_gap,low_no_runs_detected,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | missing_runs
PERF_0071,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0072,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0073,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0074,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0075,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0076,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",needs_review,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk
PERF_0078,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0079,PERF,orphan_or_unregistered,orphan_or_unregistered,prior audit bucket=orphan_or_unregistered; complexity=high; hygiene_risk=true; human review required; registry reconciliation must precede membership,incomplete_core_assets,low_no_runs_detected,true,high,true,reconcile registry/admission status before any membership preview or migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry
PERF_0080,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0081,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0083,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0084,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0085,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0086,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0087,PERF,orphan_or_unregistered,orphan_or_unregistered,prior audit bucket=orphan_or_unregistered; complexity=high; hygiene_risk=true; human review required; registry reconciliation must precede membership,incomplete_core_assets,low_no_runs_detected,true,high,true,reconcile registry/admission status before any membership preview or migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry
PERF_0090,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0091,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0092,PERF,orphan_or_unregistered,orphan_or_unregistered,prior audit bucket=orphan_or_unregistered; complexity=high; hygiene_risk=true; human review required; registry reconciliation must precede membership,incomplete_core_assets,low_no_runs_detected,true,high,true,reconcile registry/admission status before any membership preview or migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry
PERF_0093,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0094,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0095,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0096,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0097,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0100,PERF,orphan_or_unregistered,orphan_or_unregistered,prior audit bucket=orphan_or_unregistered; complexity=high; hygiene_risk=true; human review required; registry reconciliation must precede membership,incomplete_core_assets,low_no_runs_detected,true,high,true,reconcile registry/admission status before any membership preview or migration,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker;runs;legacy_registry | detected_not_in_legacy_registry
PERF_0101,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0102,PERF,backlog_candidate,proposed_backlog_v0,"prior audit bucket=backlog_candidate; complexity=medium; hygiene_risk=true; suitable for governed backlog, not v0 denominator",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,keep as governed backlog candidate; require evidence index before migration planning,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
PERF_0103,PERF,staged_candidate,proposed_staged_v0,"prior audit bucket=staged_candidate; complexity=medium; hygiene_risk=true; closest to future staged membership preview, not official membership",incomplete_core_assets,high_runs_with_local_path_and_log_debug_risk,true,medium,false,include in a future staged_v0 membership preview only after approval; do not migrate now,local_path_or_host_trace_risk | raw_log_debug_tmp_trace_risk | missing_checker
