case_id,pool,legacy_path,current_wave004_bucket,primary_blocker,secondary_blockers,source_positive_status,checker_status,schema_status,evidence_status,hygiene_status,orphan_or_registry_status,can_policy_unlock,recommended_after_resolution_bucket,required_policy_or_manual_action,notes
PERF_0097,PERF,cases/PERF/PERF_0097,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0100,PERF,cases/PERF/PERF_0100,orphan_or_unregistered_review,orphan_unregistered_needs_registry_reconciliation,missing_checker;legacy_runs_mapping_unclear;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;orphan_unregistered_needs_registry_reconciliation,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,legacy_runs_mapping_unclear_or_missing;raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,requires_registry_reconciliation_preview,false,orphan_or_unregistered_review,run separate registry reconciliation preview before package standardization,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0101,PERF,cases/PERF/PERF_0101,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0102,PERF,cases/PERF/PERF_0102,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0103,PERF,cases/PERF/PERF_0103,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0104,PERF,cases/PERF/PERF_0104,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0105,PERF,cases/PERF/PERF_0105,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0106,PERF,cases/PERF/PERF_0106,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0107,PERF,cases/PERF/PERF_0107,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0108,PERF,cases/PERF/PERF_0108,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
PERF_0109,PERF,cases/PERF/PERF_0109,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0001,CONS,cases/CONS/CONS_0001,wave_004_manual_review_required,schema_or_load_gap,missing_checker;schema_or_load_gap;validation_asset_gap;legacy_runs_mapping_unclear;must_remain_manual_review,present_or_not_flagged_in_preview,checker_or_hard_negative_review_required,missing_or_partial_schema,legacy_runs_mapping_unclear_or_missing,no_preview_hygiene_blocker_flagged,registered_or_not_flagged_in_preview,false,wave_004_manual_review_required,manual review of checker/schema/load package core before migration eligibility,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0002,CONS,cases/CONS/CONS_0002,wave_004_manual_review_required,schema_or_load_gap,missing_checker;schema_or_load_gap;validation_asset_gap;legacy_runs_mapping_unclear;must_remain_manual_review,present_or_not_flagged_in_preview,checker_or_hard_negative_review_required,missing_or_partial_schema,legacy_runs_mapping_unclear_or_missing,no_preview_hygiene_blocker_flagged,registered_or_not_flagged_in_preview,false,wave_004_manual_review_required,manual review of checker/schema/load package core before migration eligibility,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0003,CONS,cases/CONS/CONS_0003,wave_004_manual_review_required,hard_negative_needs_manual_approval,legacy_runs_mapping_unclear;must_remain_manual_review,present_or_not_flagged_in_preview,present_but_manual_review_required,present_or_not_flagged_in_preview,legacy_runs_mapping_unclear_or_missing,no_preview_hygiene_blocker_flagged,registered_or_not_flagged_in_preview,false,wave_004_manual_review_required,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0004,CONS,cases/CONS/CONS_0004,wave_004_manual_review_required,hard_negative_needs_manual_approval,legacy_runs_mapping_unclear;must_remain_manual_review,present_or_not_flagged_in_preview,present_but_manual_review_required,present_or_not_flagged_in_preview,legacy_runs_mapping_unclear_or_missing,no_preview_hygiene_blocker_flagged,registered_or_not_flagged_in_preview,false,wave_004_manual_review_required,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0006,CONS,cases/CONS/CONS_0006,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0008,CONS,cases/CONS/CONS_0008,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0013,CONS,cases/CONS/CONS_0013,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0014,CONS,cases/CONS/CONS_0014,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0015,CONS,cases/CONS/CONS_0015,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0016,CONS,cases/CONS/CONS_0016,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0017,CONS,cases/CONS/CONS_0017,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0018,CONS,cases/CONS/CONS_0018,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0019,CONS,cases/CONS/CONS_0019,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
CONS_0020,CONS,cases/CONS/CONS_0020,wave_004_backlog_defer,missing_checker,missing_checker;local_path_or_public_hygiene_risk;evidence_only_raw_log_or_trace;must_remain_backlog,present_or_not_flagged_in_preview,missing_checker,present_or_not_flagged_in_preview,raw_log_trace_must_be_excluded,local_path_archive_map_or_sanitize_required;raw_log_debug_trace_forbidden,registered_or_not_flagged_in_preview,false,wave_004_backlog_defer,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet,"No case migration authorized; denominator, case_sets, reports/results, paper results, metrics, and raw legacy evidence remain unchanged."
