case_id,pool,legacy_path,previous_bucket,new_wave004_bucket,blocker_resolution,policy_used,expected_effort,recommended_priority,notes
PERF_0101,PERF,cases/PERF/PERF_0101,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0102,PERF,cases/PERF/PERF_0102,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0103,PERF,cases/PERF/PERF_0103,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0104,PERF,cases/PERF/PERF_0104,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0105,PERF,cases/PERF/PERF_0105,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0106,PERF,cases/PERF/PERF_0106,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0107,PERF,cases/PERF/PERF_0107,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0108,PERF,cases/PERF/PERF_0108,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PERF_0109,PERF,cases/PERF/PERF_0109,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0001,CONS,cases/CONS/CONS_0001,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,manual review of checker/schema/load package core before migration eligibility
CONS_0002,CONS,cases/CONS/CONS_0002,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,manual review of checker/schema/load package core before migration eligibility
CONS_0003,CONS,cases/CONS/CONS_0003,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility
CONS_0004,CONS,cases/CONS/CONS_0004,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility
CONS_0006,CONS,cases/CONS/CONS_0006,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0008,CONS,cases/CONS/CONS_0008,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0013,CONS,cases/CONS/CONS_0013,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0014,CONS,cases/CONS/CONS_0014,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0015,CONS,cases/CONS/CONS_0015,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0016,CONS,cases/CONS/CONS_0016,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0017,CONS,cases/CONS/CONS_0017,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0018,CONS,cases/CONS/CONS_0018,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0019,CONS,cases/CONS/CONS_0019,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0020,CONS,cases/CONS/CONS_0020,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0021,CONS,cases/CONS/CONS_0021,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0022,CONS,cases/CONS/CONS_0022,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0023,CONS,cases/CONS/CONS_0023,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0025,CONS,cases/CONS/CONS_0025,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0026,CONS,cases/CONS/CONS_0026,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0027,CONS,cases/CONS/CONS_0027,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0028,CONS,cases/CONS/CONS_0028,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0029,CONS,cases/CONS/CONS_0029,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0030,CONS,cases/CONS/CONS_0030,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0032,CONS,cases/CONS/CONS_0032,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0033,CONS,cases/CONS/CONS_0033,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0035,CONS,cases/CONS/CONS_0035,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0038,CONS,cases/CONS/CONS_0038,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0039,CONS,cases/CONS/CONS_0039,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
CONS_0040,CONS,cases/CONS/CONS_0040,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0001,PORT,cases/PORT/PORT_0001,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,manual review of checker/schema/load package core before migration eligibility
PORT_0007,PORT,cases/PORT/PORT_0007,orphan_or_unregistered_review,orphan_or_unregistered_review,not_unlocked_registry_reconciliation_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P4,run separate registry reconciliation preview before package standardization
PORT_0009,PORT,cases/PORT/PORT_0009,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0010,PORT,cases/PORT/PORT_0010,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0011,PORT,cases/PORT/PORT_0011,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0014,PORT,cases/PORT/PORT_0014,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0015,PORT,cases/PORT/PORT_0015,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0016,PORT,cases/PORT/PORT_0016,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0017,PORT,cases/PORT/PORT_0017,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0018,PORT,cases/PORT/PORT_0018,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0019,PORT,cases/PORT/PORT_0019,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0020,PORT,cases/PORT/PORT_0020,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0021,PORT,cases/PORT/PORT_0021,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0023,PORT,cases/PORT/PORT_0023,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0026,PORT,cases/PORT/PORT_0026,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0027,PORT,cases/PORT/PORT_0027,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
PORT_0028,PORT,cases/PORT/PORT_0028,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0001,LONGTAIL,cases/LONGTAIL/LONGTAIL_0001,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,manual review of checker/schema/load package core before migration eligibility
LONGTAIL_0002,LONGTAIL,cases/LONGTAIL/LONGTAIL_0002,wave_004_manual_review_required,wave_004_manual_review_required,not_unlocked_manual_review_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P3,human review of hard-negative/checker semantics and evidence-retention handling before migration eligibility
LONGTAIL_0003,LONGTAIL,cases/LONGTAIL/LONGTAIL_0003,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0004,LONGTAIL,cases/LONGTAIL/LONGTAIL_0004,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0005,LONGTAIL,cases/LONGTAIL/LONGTAIL_0005,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0006,LONGTAIL,cases/LONGTAIL/LONGTAIL_0006,orphan_or_unregistered_review,orphan_or_unregistered_review,not_unlocked_registry_reconciliation_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P4,run separate registry reconciliation preview before package standardization
LONGTAIL_0007,LONGTAIL,cases/LONGTAIL/LONGTAIL_0007,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0008,LONGTAIL,cases/LONGTAIL/LONGTAIL_0008,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0009,LONGTAIL,cases/LONGTAIL/LONGTAIL_0009,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0010,LONGTAIL,cases/LONGTAIL/LONGTAIL_0010,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0014,LONGTAIL,cases/LONGTAIL/LONGTAIL_0014,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0015,LONGTAIL,cases/LONGTAIL/LONGTAIL_0015,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0016,LONGTAIL,cases/LONGTAIL/LONGTAIL_0016,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0017,LONGTAIL,cases/LONGTAIL/LONGTAIL_0017,orphan_or_unregistered_review,orphan_or_unregistered_review,not_unlocked_registry_reconciliation_required,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,manual,P4,run separate registry reconciliation preview before package standardization
LONGTAIL_0018,LONGTAIL,cases/LONGTAIL/LONGTAIL_0018,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0019,LONGTAIL,cases/LONGTAIL/LONGTAIL_0019,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0020,LONGTAIL,cases/LONGTAIL/LONGTAIL_0020,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
LONGTAIL_0021,LONGTAIL,cases/LONGTAIL/LONGTAIL_0021,wave_004_backlog_defer,wave_004_backlog_defer,not_unlocked_missing_checker_or_core_assets,none_new; wave002 hygiene/evidence policies retained but did not unlock this row,high,P4,restore_or_authorize checker package assets before package migration; do not relax checker minimum in this packet
