case_id,candidate_path,candidate_type,readiness_source,readiness_status,deletion_allowed,deletion_performed,skip_reason,notes
PORT_0003,validation/run_postgres_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PORT_0003,validation/run_mysql_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PORT_0003,validation/run_spark_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PORT_0003,validation/run_postgres_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PORT_0003,validation/run_mysql_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PORT_0003,validation/run_spark_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
PORT_0003,schema/postgres/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/parrot_bird_port0003_v0/postgres/ verified before deletion
PORT_0003,schema/mysql/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/parrot_bird_port0003_v0/mysql/ verified before deletion
PORT_0003,schema/spark/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/parrot_bird_port0003_v0/spark/ verified before deletion
PORT_0003,evidence/,case_local_evidence,evidence_reference_unblock_results.csv + gap_closure_skipped_manifest.csv,external_evidence_updated_and_verified,true,true,,case-local evidence file tree mapped byte-for-byte to evidence/cases package
LONGTAIL_0011,validation/run_postgres_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
LONGTAIL_0011,validation/run_mysql_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
LONGTAIL_0011,validation/run_spark_validation.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
LONGTAIL_0011,validation/run_postgres_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
LONGTAIL_0011,validation/run_mysql_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
LONGTAIL_0011,validation/run_spark_plan_collection.sh,validation_legacy_script,legacy_validation_script_cleanup_readiness.csv,deletion_ready_after_wrapper_update,true,true,,v2 wrappers do not call old engine-specific scripts and fail closed for future shared runner
LONGTAIL_0011,schema/postgres/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/sqlstorm_stackoverflow_longtail0011_v0/postgres/ verified before deletion
LONGTAIL_0011,schema/mysql/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/sqlstorm_stackoverflow_longtail0011_v0/mysql/ verified before deletion
LONGTAIL_0011,schema/spark/,schema_engine_dir,schema_cleanup_readiness_after_unblock.csv,deletion_ready_next_task,true,true,,external schema package schemas/sqlstorm_stackoverflow_longtail0011_v0/spark/ verified before deletion
LONGTAIL_0011,evidence/,case_local_evidence,evidence_reference_unblock_results.csv + gap_closure_skipped_manifest.csv,external_evidence_updated_and_verified,true,true,,case-local evidence file tree mapped byte-for-byte to evidence/cases package
