case_id,field_path,old_value,new_value,repair_source,repair_status,notes
PERF_0017,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0019,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0019,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0024,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0024,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0033,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0033,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0034,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0034,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0035,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0035,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0052,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0052,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0054,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0054,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0056,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0056,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0062,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0062,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0077,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0077,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0082,draft_origin.recovery_status,manual_review_required,accepted_non_blocking_release_caveat,current_manifest; branch_history_provenance; prior_manifest_repair_blocker,classification_closeout_applied,No distinct draft origin was invented; recovery status now accurately says the fallback caveat is accepted as non-blocking.
PERF_0082,known_caveats[],draft_origin_not_explicitly_recovered,draft_origin_not_explicitly_recovered_nonblocking,current_manifest; branch_history_provenance; caveat closeout classification,retained_as_nonblocking_caveat,Caveat remains visible but no longer marks the case as manual-review blocked by itself.
PERF_0006,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0007,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PORT_0003,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0008,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0013,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0017,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0019,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0024,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0033,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0034,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0035,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0052,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0054,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0056,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PERF_0062,status,manual_review_required,repaired_v2_manifest_contract_with_nonblocking_provenance_caveat,manifest_caveat_closeout classification,closed_manual_status_after_only_nonblocking_caveats,Top-level manual-review status was removed only because no remaining caveat for this case blocks Wave C planning or public release.
PORT_0003,draft_origin.origin_id,manual_review_required,datasets/raw/parrot/PARROT/benchmark/BIRD/pg_res.json[3],branch_history_metadata/provenance.yaml source_entry_pointer,safe_field_repair_available_applied,This is explicitly a source-entry fallback under origin_type=source_query_identity_fallback; no distinct draft artifact is claimed.
PERF_0077,source_path,manual_review_required,manual_review_required,branch_history_provenance source_entry blank; no safe repair source found,not_repaired_manual_review_required,No original source path was recovered safely; do not infer it from filenames or SQL comments.
PERF_0082,source_path,manual_review_required,manual_review_required,branch_history_provenance source_entry blank; no safe repair source found,not_repaired_manual_review_required,No original source path was recovered safely; do not infer it from filenames or SQL comments.
