case_id,pool,candidate_class,method_id,route_id,provider_label,model_label,base_url_host,live_enabled_flag,live_enabled_env,api_key_env_present,api_key_env_used,call_timestamp_utc,prompt_template_id,annotation_schema_version,prompt_sha256,source_sql_sha256,candidate_sql_sha256,success,status,prompt_tokens,completion_tokens,total_tokens,error,notes
PERF_0019,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:51:12.063225+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,222ad88323f227a7bf58c3be64a3aaffff5abdbf3a24a48a4126db85a5d71380,099a3ecc8fd1d77bd86c9aa25b43a2c4e7c5c4832edb756491db80ccff6cf422,97689ee1bac56eea6d0942a8a07f03b7039a83e5bd468909ec9182f75033318d,true,annotation_received,1950,830,2780,,safe metadata only; raw prompt/response not stored
PERF_0019,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:51:29.151616+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,9b02c9c43e9b8a16c1045e7fd396c436880210dbbc4e74991a76b571a5e65908,099a3ecc8fd1d77bd86c9aa25b43a2c4e7c5c4832edb756491db80ccff6cf422,099a3ecc8fd1d77bd86c9aa25b43a2c4e7c5c4832edb756491db80ccff6cf422,true,annotation_received,2066,472,2538,,safe metadata only; raw prompt/response not stored
PERF_0024,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:51:40.157331+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,09228fbf2e37cb56cd9bcdae01891eafc1d4ca7a79ed49aa75563f7eedc89d71,adbcd38897f700fdeecc2d8b018ac5618929276fe8a0b58169bc2f5b242a79ac,1e4af6db14fb052e4b8a2119c692ecc2118f48917a34f8e78a55e965ffc621d1,false,annotation_failed,,,,"Expecting ',' delimiter: line 1 column 581 (char 580)",failure captured without raw prompt/response
PERF_0024,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:51:58.719171+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,820e560bfac99d25f7c0ebe69c9ef5f7a527f60f47b0175d52cfac7a06e65711,adbcd38897f700fdeecc2d8b018ac5618929276fe8a0b58169bc2f5b242a79ac,adbcd38897f700fdeecc2d8b018ac5618929276fe8a0b58169bc2f5b242a79ac,true,annotation_received,2289,603,2892,,safe metadata only; raw prompt/response not stored
PERF_0033,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:52:12.489485+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,e6c2c0c6cea0258b736229b1f10013e9de1236d0b4de3108c617db23d571449f,d0f865f84426d3b2cbf7c887f2c70b14fc1279f2c0822ea212e1542aaa9fd3c2,3a122096e72133b72ec5498bd00a24679ab47db8bd5d25b283f000ba8e081c85,true,annotation_received,1982,818,2800,,safe metadata only; raw prompt/response not stored
PERF_0033,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:52:29.595550+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,3d2f2c76a8e0f6e833a73a4ed5a78f390e9a78cc1f8bf8d1d0e3486b806aef76,d0f865f84426d3b2cbf7c887f2c70b14fc1279f2c0822ea212e1542aaa9fd3c2,d0f865f84426d3b2cbf7c887f2c70b14fc1279f2c0822ea212e1542aaa9fd3c2,true,annotation_received,1974,651,2625,,safe metadata only; raw prompt/response not stored
PERF_0034,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:52:43.129224+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,cbe69da93e781a0a8d31e51700eec704f2b6381be5bf6840cf0e53c62e03f191,7b067603fc8093dd845c2fa77a582f02e59513456e6befcb0e4f4541b42b205f,2850badb1e87e58be069bc931118b64441023c56801d1712a70ad169e917b250,true,annotation_received,3177,1456,4633,,safe metadata only; raw prompt/response not stored
PERF_0034,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:53:11.286641+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,f89bf2ecefab9df001767fb389c92a2f78e415e42def90adcf118cb77098c948,7b067603fc8093dd845c2fa77a582f02e59513456e6befcb0e4f4541b42b205f,7b067603fc8093dd845c2fa77a582f02e59513456e6befcb0e4f4541b42b205f,true,annotation_received,3330,572,3902,,safe metadata only; raw prompt/response not stored
PERF_0035,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:53:23.554173+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,9296f32336c22202c30c6f6349e7f40649403dc4f30cf1f2489c4a9cb3365f75,9977cac76fdd6e06994c1b1e13c1e84154cc6074fa05584c0eb337b15ce806f6,d677efc27b396a3c63dd1a26c68d91c9dbf48a9d3c71ab4f36db1cf50561182b,true,annotation_received,3418,1089,4507,,safe metadata only; raw prompt/response not stored
PERF_0035,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:53:45.207277+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,e9b8c95358c98e8d13a26da01d5fc8d9fd02793e8349fc7d8c962f83a2080170,9977cac76fdd6e06994c1b1e13c1e84154cc6074fa05584c0eb337b15ce806f6,9977cac76fdd6e06994c1b1e13c1e84154cc6074fa05584c0eb337b15ce806f6,true,annotation_received,3497,557,4054,,safe metadata only; raw prompt/response not stored
PERF_0052,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:53:57.973125+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,82a32438b13cb586787db83e85ec358ddbdce86d6fd7ee63d14b8d15a73ca8b4,c7d742cfda6dc04194e4e83eddfe68132023c009e0e67713e0250048a195498b,9540cdee657e2c45e707df82435be24d3e25da7ea67b65f1447b3b1a5d16f34f,true,annotation_received,2186,833,3019,,safe metadata only; raw prompt/response not stored
PERF_0052,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:54:14.670149+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,d4e1c1fea6d0617da14ffa101dffecdd189eb3519916fc3d472d6f3fbecdbfaf,c7d742cfda6dc04194e4e83eddfe68132023c009e0e67713e0250048a195498b,c7d742cfda6dc04194e4e83eddfe68132023c009e0e67713e0250048a195498b,true,annotation_received,2192,915,3107,,safe metadata only; raw prompt/response not stored
PERF_0054,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:54:34.109126+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,b908c8d07b6df18278eadbdaf3ae274c3b2b54850bc8ea6cae00e05330ba74e7,0a97395e9cd01c7d4c8a83f25406e83d1c1e5dec2ce9cfda696a90b8633bee3f,db94752dfc40979ecee8f0872bebf341ca60cc410f37359bb07741ff3f8cfbb6,true,annotation_received,1888,512,2400,,safe metadata only; raw prompt/response not stored
PERF_0054,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:54:45.494754+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,fa6143e0dab0c9c0f00df86159eeb92503faedc9e1d85f2fcfd5a7ad316075c7,0a97395e9cd01c7d4c8a83f25406e83d1c1e5dec2ce9cfda696a90b8633bee3f,0a97395e9cd01c7d4c8a83f25406e83d1c1e5dec2ce9cfda696a90b8633bee3f,true,annotation_received,1890,465,2355,,safe metadata only; raw prompt/response not stored
PERF_0056,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:54:56.030107+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,8eb9a2ea62fbf22d8b3408f7bbce5dcd6c99bc3e528b7f67b4bb5646361bcbc0,2c2a6b7c84816efa61ef43e36bc4d388515bbefbf4727e6ae3fcb14f65b02d93,32bff9568cbe04b2f40b9772bc83a69d0b1e556e8a8ba329c0f4b68447418541,true,annotation_received,2116,845,2961,,safe metadata only; raw prompt/response not stored
PERF_0056,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:55:13.432980+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,b21112c6c27651390ad858c2190d4e2691588b511a8c7db77407bc0aa3036534,2c2a6b7c84816efa61ef43e36bc4d388515bbefbf4727e6ae3fcb14f65b02d93,2c2a6b7c84816efa61ef43e36bc4d388515bbefbf4727e6ae3fcb14f65b02d93,true,annotation_received,2120,653,2773,,safe metadata only; raw prompt/response not stored
PERF_0062,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:55:27.144207+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,8a323c137058194fe1baf0aa3cd5281019a74308dfc5e51833fc9319588a5588,1173728ec616c63fc26002b5c832448959956cab9ec40c7598b1ca3b3eebdc2a,c1f94dab8685b912489dc42d48234ad6672dc95a12a65ccb662f92cfc53af041,false,annotation_failed,,,,The read operation timed out,failure captured without raw prompt/response
PERF_0062,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:56:27.411664+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,6373c5737f0361fb70f5608aa2dadda4f209a671511efb15ca301cf8afa8b873,1173728ec616c63fc26002b5c832448959956cab9ec40c7598b1ca3b3eebdc2a,1173728ec616c63fc26002b5c832448959956cab9ec40c7598b1ca3b3eebdc2a,true,annotation_received,2888,828,3716,,safe metadata only; raw prompt/response not stored
PERF_0077,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:56:45.222370+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,fbcf00b1958591f54c5f7181b3db14804215da55d20d4601e5617aa923fc559a,b3e94a9ed53d9362995072b587f973f0defa1f2b879be53870396babd45b2bcd,782aad861458dea2c2bbeae8da4b25438aa5ed3fd6a95d217150ac552f05be7d,true,annotation_received,1758,666,2424,,safe metadata only; raw prompt/response not stored
PERF_0077,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:57:08.942048+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,23d2a9f41618e88c6cc99c86e217107fc95f06444867244c17af1434c5acefdd,b3e94a9ed53d9362995072b587f973f0defa1f2b879be53870396babd45b2bcd,b3e94a9ed53d9362995072b587f973f0defa1f2b879be53870396babd45b2bcd,true,annotation_received,1780,653,2433,,safe metadata only; raw prompt/response not stored
PERF_0082,PERF,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:57:22.785297+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,ea77fd65ab3536d8c8a99410e5a4bb061a79c74246b6e8f6febae21ddc328ba2,931544a23fdc970ac15b6daf6b2aed935887bf70ea114f59bcfd74d304a3fb80,91630f789095f121794d861f62a991fe3ca3ee042b5d91723c9862545a2f0058,true,annotation_received,2010,868,2878,,safe metadata only; raw prompt/response not stored
PERF_0082,PERF,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:57:41.054231+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,822ae8ceee9ced9f9bd014184bfd73676c95e444b9d594e83ff89b99dfa2fb51,931544a23fdc970ac15b6daf6b2aed935887bf70ea114f59bcfd74d304a3fb80,931544a23fdc970ac15b6daf6b2aed935887bf70ea114f59bcfd74d304a3fb80,false,annotation_failed,,,,"Expecting ',' delimiter: line 1 column 600 (char 599)",failure captured without raw prompt/response
CONS_0005,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:57:55.885154+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,1baf9247769db7147a9c3c0645dbaf54f86ac9196f193b3b241819a8c058d620,7fb55d0e5e79d59f62e4eefa8782ae34ec9e5fc7d5d83d74f6c8537aaec060cf,68f38679e0b71286223e9e66b777eed981e8caa1d1c18aa10e8c4daef3e9cfe2,true,annotation_received,1458,705,2163,,safe metadata only; raw prompt/response not stored
CONS_0005,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:58:12.020328+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,a96ff0857fb22aca92f23fa9614d7f612cacea073c365ea7777cd439a2d97683,7fb55d0e5e79d59f62e4eefa8782ae34ec9e5fc7d5d83d74f6c8537aaec060cf,7fb55d0e5e79d59f62e4eefa8782ae34ec9e5fc7d5d83d74f6c8537aaec060cf,true,annotation_received,1439,668,2107,,safe metadata only; raw prompt/response not stored
CONS_0007,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:58:26.860485+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,c2c110c7a47e6d6fbabff591136a5b2c12c02a619cecdb1cb0ef9a996a7aa675,87f20da933190edd2e6f72b4fd6fb40328280eb7d39a6d1b9f0ea2ed2da25e32,944d556ad76dd123bfd8c9e3c5485a6702ab72f2ae3f73dd562ce380edcccda1,true,annotation_received,1501,874,2375,,safe metadata only; raw prompt/response not stored
CONS_0007,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:58:44.419370+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,5207cc5ef47ce7d13968dff8f795b8c47a7b44162e5cc767f4737ba1f4c36873,87f20da933190edd2e6f72b4fd6fb40328280eb7d39a6d1b9f0ea2ed2da25e32,87f20da933190edd2e6f72b4fd6fb40328280eb7d39a6d1b9f0ea2ed2da25e32,true,annotation_received,1492,444,1936,,safe metadata only; raw prompt/response not stored
CONS_0009,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:58:54.592297+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,4d8709eeca5cd7a5e89c7dd23885357dc9118fc44e7ca19b727e60df7ae8fd2e,5823c5d0fe149007ba73e1fe607f4b4b68be1852ccd37abe6534188f9e090ba6,5804a1a47ee75e319caef13311d7599db4ab885d01e88a7f72c53316127633ee,true,annotation_received,1820,835,2655,,safe metadata only; raw prompt/response not stored
CONS_0009,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:59:11.388671+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,e9e9190f218254acce120b441a46a20193539221ecea2146d7839e5009ae5815,5823c5d0fe149007ba73e1fe607f4b4b68be1852ccd37abe6534188f9e090ba6,5823c5d0fe149007ba73e1fe607f4b4b68be1852ccd37abe6534188f9e090ba6,true,annotation_received,1732,621,2353,,safe metadata only; raw prompt/response not stored
CONS_0010,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:59:27.209743+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,cd4f9c2c438f0dbedc0d527451e10ad19361cedcc18916aadac13b0b921577fe,1af72c63f62480db554a907264092d5c0457bf93bd7e12c5f080685bd2178785,f45ae6b4067ab601b21d6f6181e235cef2b740480987a244818408190a7d6985,true,annotation_received,1436,763,2199,,safe metadata only; raw prompt/response not stored
CONS_0010,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:59:44.476493+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,d3c9358c493a46a19a40d79245d3a980af6d7310cef51ffddbe5c30b47a38fe1,1af72c63f62480db554a907264092d5c0457bf93bd7e12c5f080685bd2178785,1af72c63f62480db554a907264092d5c0457bf93bd7e12c5f080685bd2178785,true,annotation_received,1433,503,1936,,safe metadata only; raw prompt/response not stored
CONS_0011,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T14:59:56.979840+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,8787f53880cc4b0d54d96340f81f3e73edfbf337ee4959c3b572906b87dc34dc,3f461dd446146583d385abc3f138c235745ed5f4bfef18a64e61eb2159362753,29ffc4dec12ee0beecc13b63b79d63e789bb4bc0af775981188b804783955eca,true,annotation_received,1387,399,1786,,safe metadata only; raw prompt/response not stored
CONS_0011,CONS,noop_control,sqlglot_noop,common_core_pg_noop_db_checker,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T15:00:07.711733+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,f2035951c00373fbd9c21f9293a1aca17c55b58f240627d91dbd41bc3fb6b894,3f461dd446146583d385abc3f138c235745ed5f4bfef18a64e61eb2159362753,3f461dd446146583d385abc3f138c235745ed5f4bfef18a64e61eb2159362753,true,annotation_received,1392,541,1933,,safe metadata only; raw prompt/response not stored
CONS_0012,CONS,positive_control,human_positive_control,pocr_positive_control_full40_calibration,openai_compatible,gpt-5.4,api.gptsapi.net,true,true,true,SQLRB_LLM_API_KEY,2026-05-25T15:00:21.130781+00:00,pocr_stage_a_annotation_prompt_v2_transformation_aware,pocr_candidate_annotation_v1,89058c778a9858db4ab95131340d04faedfc86f247480c085b93501e821d185f,c0808116a402e85af71bd2812818e68b4b8e47422806a537a1f636d00f9f16b7,2deece90ca07acbbf86c265f7bac8e72cad669b9987545ba382ea5857f438da3,true,annotation_received,1343,493,1836,,safe metadata only; raw prompt/response not stored
