case_id,pool,source_path,positive_path,source_select_count,positive_select_count,source_features,positive_features,risk_score,tier,risk_notes
PORT_0004,PORT,cases/PORT/PORT_0004/sql/source.sql,cases/PORT/PORT_0004/sql/pos_01.sql,1,1,aggregate|case_expr,date_time|aggregate|case_expr,62,high_risk,date_interval_risk
PORT_0012,PORT,cases/PORT/PORT_0012/sql/source.sql,cases/PORT/PORT_0012/sql/pos_01.sql,1,1,date_time|aggregate|case_expr,date_time|aggregate|case_expr,62,high_risk,date_interval_risk
PORT_0025,PORT,cases/PORT/PORT_0025/sql/source.sql,cases/PORT/PORT_0025/sql/pos_01.sql,1,1,order_by|limit_offset|inner_join,order_by|limit_offset|date_time|inner_join,75,high_risk,date_interval_risk|limit_offset_risk
CONS_0037,CONS,cases/CONS/CONS_0037/sql/source.sql,cases/CONS/CONS_0037/sql/pos_01.sql,1,1,group_by|outer_join|inner_join|aggregate|distinct,group_by|outer_join|inner_join|aggregate|distinct,85,high_risk,outer_join_risk
PERF_0013,PERF,cases/PERF/PERF_0013/sql/source.sql,cases/PERF/PERF_0013/sql/pos_01.sql,1,1,group_by|order_by|limit_offset|date_time|interval|aggregate,group_by|order_by|date_time|interval|inner_join|aggregate,145,high_risk,date_interval_risk|limit_offset_risk
PERF_0017,PERF,cases/PERF/PERF_0017/sql/source.sql,cases/PERF/PERF_0017/sql/pos_01.sql,1,1,group_by|order_by|limit_offset|date_time|interval|aggregate,group_by|order_by|limit_offset|date_time|interval|inner_join|aggregate,145,high_risk,date_interval_risk|limit_offset_risk
CONS_0036,CONS,cases/CONS/CONS_0036/sql/source.sql,cases/CONS/CONS_0036/sql/pos_01.sql,1,2,group_by|having|aggregate,nested_select|select_subquery|scalar_select|group_by|aggregate,200,high_risk,nested_select_risk
LONGTAIL_0024,LONGTAIL,cases/LONGTAIL/LONGTAIL_0024/sql/source.sql,cases/LONGTAIL/LONGTAIL_0024/sql/pos_01.sql,2,2,nested_select|select_subquery|group_by|order_by|inner_join|aggregate|distinct,nested_select|select_subquery|scalar_select|group_by|order_by|inner_join|aggregate|distinct,205,high_risk,nested_select_risk
PERF_0033,PERF,cases/PERF/PERF_0033/sql/source.sql,cases/PERF/PERF_0033/sql/pos_01.sql,1,3,group_by|order_by|limit_offset|aggregate,nested_select|select_subquery|scalar_select|group_by|order_by|limit_offset|inner_join|aggregate,215,high_risk,nested_select_risk|limit_offset_risk
PERF_0052,PERF,cases/PERF/PERF_0052/sql/source.sql,cases/PERF/PERF_0052/sql/pos_01.sql,3,3,nested_select|select_subquery|scalar_select|group_by|order_by|limit_offset|aggregate,nested_select|select_subquery|scalar_select|group_by|order_by|limit_offset|inner_join|aggregate,215,high_risk,nested_select_risk|limit_offset_risk
PERF_0006,PERF,cases/PERF/PERF_0006/sql/source.sql,cases/PERF/PERF_0006/sql/pos_01.sql,1,2,group_by|order_by|date_time|aggregate,nested_select|select_subquery|scalar_select|group_by|order_by|date_time|aggregate,220,high_risk,nested_select_risk|date_interval_risk
LONGTAIL_0023,LONGTAIL,cases/LONGTAIL/LONGTAIL_0023/sql/source.sql,cases/LONGTAIL/LONGTAIL_0023/sql/pos_01.sql,3,3,nested_select|select_subquery|scalar_select|group_by|order_by|outer_join|inner_join|aggregate,nested_select|select_subquery|scalar_select|group_by|order_by|outer_join|inner_join|aggregate,225,high_risk,nested_select_risk|outer_join_risk
LONGTAIL_0022,LONGTAIL,cases/LONGTAIL/LONGTAIL_0022/sql/source.sql,cases/LONGTAIL/LONGTAIL_0022/sql/pos_01.sql,2,2,nested_select|select_subquery|group_by|order_by|outer_join|inner_join|aggregate|distinct,nested_select|select_subquery|scalar_select|group_by|order_by|outer_join|inner_join|aggregate|distinct,240,high_risk,nested_select_risk|outer_join_risk
PERF_0056,PERF,cases/PERF/PERF_0056/sql/source.sql,cases/PERF/PERF_0056/sql/pos_01.sql,3,3,nested_select|select_subquery|scalar_select|group_by|having|order_by|limit_offset|aggregate|distinct,nested_select|select_subquery|scalar_select|group_by|having|order_by|limit_offset|inner_join|aggregate|distinct,250,high_risk,nested_select_risk|limit_offset_risk
PERF_0008,PERF,cases/PERF/PERF_0008/sql/source.sql,cases/PERF/PERF_0008/sql/pos_01.sql,1,3,group_by|order_by|limit_offset|date_time|aggregate,nested_select|select_subquery|scalar_select|group_by|order_by|limit_offset|date_time|inner_join|aggregate,255,high_risk,nested_select_risk|date_interval_risk|limit_offset_risk
CONS_0007,CONS,cases/CONS/CONS_0007/sql/source.sql,cases/CONS/CONS_0007/sql/pos_01.sql,3,2,exists|nested_select|select_subquery|scalar_select,nested_select|select_subquery|scalar_select|inner_join|distinct,270,high_risk,exists_unsupported_seen|nested_select_risk
PERF_0019,PERF,cases/PERF/PERF_0019/sql/source.sql,cases/PERF/PERF_0019/sql/pos_01.sql,2,2,nested_select|select_subquery|scalar_select|group_by|order_by|limit_offset|outer_join|inner_join|aggregate|like,nested_select|select_subquery|scalar_select|group_by|order_by|outer_join|inner_join|aggregate|like,270,high_risk,nested_select_risk|outer_join_risk|limit_offset_risk
PERF_0007,PERF,cases/PERF/PERF_0007/sql/source.sql,cases/PERF/PERF_0007/sql/pos_01.sql,1,2,limit_offset|date_time|interval|aggregate,nested_select|select_subquery|scalar_select|date_time|aggregate,275,high_risk,nested_select_risk|date_interval_risk|limit_offset_risk
CONS_0009,CONS,cases/CONS/CONS_0009/sql/source.sql,cases/CONS/CONS_0009/sql/pos_01.sql,4,3,nested_select|select_subquery|scalar_select|aggregate|set_op,nested_select|select_subquery|scalar_select|group_by|outer_join|inner_join|aggregate|case_expr,282,high_risk,nested_select_risk|outer_join_risk|set_op_risk
LONGTAIL_0011,LONGTAIL,cases/LONGTAIL/LONGTAIL_0011/sql/source.sql,cases/LONGTAIL/LONGTAIL_0011/sql/pos_01.sql,3,2,nested_select|select_subquery|scalar_select|window|group_by|order_by|inner_join|aggregate,nested_select|select_subquery|window|order_by|inner_join,285,high_risk,nested_select_risk|window_unsupported_source
CONS_0011,CONS,cases/CONS/CONS_0011/sql/source.sql,cases/CONS/CONS_0011/sql/pos_01.sql,2,2,exists|nested_select|select_subquery|scalar_select|outer_join|inner_join,nested_select|select_subquery|scalar_select|outer_join|inner_join|aggregate,300,high_risk,exists_unsupported_seen|nested_select_risk|outer_join_risk
PERF_0035,PERF,cases/PERF/PERF_0035/sql/source.sql,cases/PERF/PERF_0035/sql/pos_01.sql,3,4,nested_select|select_subquery|scalar_select|window|group_by|order_by|limit_offset|aggregate|case_expr,nested_select|select_subquery|scalar_select|window|group_by|order_by|limit_offset|inner_join|aggregate,322,high_risk,nested_select_risk|window_unsupported_source|limit_offset_risk
CONS_0012,CONS,cases/CONS/CONS_0012/sql/source.sql,cases/CONS/CONS_0012/sql/pos_01.sql,2,2,exists|nested_select|select_subquery|scalar_select|limit_offset,nested_select|select_subquery|scalar_select|group_by|having|inner_join|aggregate,325,high_risk,exists_unsupported_seen|nested_select_risk|limit_offset_risk
CONS_0024,CONS,cases/CONS/CONS_0024/sql/source.sql,cases/CONS/CONS_0024/sql/pos_01.sql,2,1,exists|nested_select|select_subquery|scalar_select|group_by|having|outer_join|inner_join|aggregate,none,335,high_risk,exists_unsupported_seen|nested_select_risk|outer_join_risk
CONS_0010,CONS,cases/CONS/CONS_0010/sql/source.sql,cases/CONS/CONS_0010/sql/pos_01.sql,2,3,exists|not_exists|nested_select|select_subquery|scalar_select|inner_join,exists|nested_select|select_subquery|scalar_select,350,high_risk,exists_unsupported_seen|nested_select_risk
LONGTAIL_0013,LONGTAIL,cases/LONGTAIL/LONGTAIL_0013/sql/source.sql,cases/LONGTAIL/LONGTAIL_0013/sql/pos_01.sql,3,4,nested_select|select_subquery|scalar_select|window|group_by|having|order_by|outer_join|inner_join|aggregate|case_expr|distinct,nested_select|select_subquery|scalar_select|window|group_by|having|order_by|outer_join|inner_join|aggregate|case_expr|distinct,367,high_risk,nested_select_risk|window_unsupported_source|outer_join_risk
PERF_0034,PERF,cases/PERF/PERF_0034/sql/source.sql,cases/PERF/PERF_0034/sql/pos_01.sql,10,7,in_subquery|nested_select|select_subquery|scalar_select|group_by|order_by|limit_offset|aggregate|set_op,nested_select|select_subquery|scalar_select|group_by|order_by|limit_offset|date_time|inner_join|aggregate|set_op,370,high_risk,nested_select_risk|date_interval_risk|limit_offset_risk|set_op_risk
LONGTAIL_0012,LONGTAIL,cases/LONGTAIL/LONGTAIL_0012/sql/source.sql,cases/LONGTAIL/LONGTAIL_0012/sql/pos_01.sql,2,3,nested_select|select_subquery|scalar_select|window|group_by|having|order_by|limit_offset|outer_join|inner_join|aggregate|case_expr|distinct,nested_select|select_subquery|scalar_select|window|group_by|having|order_by|limit_offset|outer_join|inner_join|aggregate|case_expr|distinct,392,high_risk,nested_select_risk|window_unsupported_source|outer_join_risk|limit_offset_risk
PERF_0024,PERF,cases/PERF/PERF_0024/sql/source.sql,cases/PERF/PERF_0024/sql/pos_01.sql,4,3,in_subquery|nested_select|select_subquery|scalar_select|order_by|date_time|interval|aggregate|like,exists|nested_select|select_subquery|scalar_select|order_by|date_time|interval|inner_join|aggregate|like,440,high_risk,exists_unsupported_seen|nested_select_risk|date_interval_risk
CONS_0005,CONS,cases/CONS/CONS_0005/sql/source.sql,cases/CONS/CONS_0005/sql/pos_01.sql,2,2,in_subquery|not_in|nested_select|select_subquery|scalar_select,exists|not_exists|nested_select|select_subquery|scalar_select,465,high_risk,exists_unsupported_seen|nested_select_risk
